85865872,1
54347971,3
23911803,11
74701782,8
82098265,1
62854372,8
21351405,4
46802063,1
46526813,10
29868501,6
34833635,8
92900034,5
43047799,12
32861729,5
64439990,9
71791930,6
20541847,7
57965351,4
50762687,12
66616760,6
76104827,8
85388361,3
29162540,12
30791289,5
89596147,8
40637367,12
46067220,1
55024598,5
82414623,5
14542302,3
41931565,6
19765900,8
95108233,4
25991282,3
14891956,4
62325911,1
67564396,5
91463837,2
47763428,2
11015820,10
65661776,9
65048192,5
72826000,2
97895259,5
69263258,11
51887101,2
63428345,11
73331834,3
18999202,7
80262040,5
40353251,4
26604751,9
61045830,8
57719024,8
31044230,3
58383255,10
79568729,1
59710529,4
90936429,3
65501626,3
46454396,2
20365011,2
95051492,2
36647107,11
83952965,7
20741845,10
50322283,8
99979904,12
87238561,9
82630440,5
34116832,10
72586050,5
22514130,3
30952635,11
62925018,5
49576217,5
16569677,8
56089873,7
39796200,6
79328949,8
20406649,8
57864451,4
80756475,5
67144862,11
32362805,9
19318861,4
56223489,10
80859282,12
93177485,5
16622651,9
62778818,7
68209556,11
34047901,7
20532900,12
75546173,10
12951870,2
61049510,2
23901631,1
62579636,1
89406341,3
20796494,3
